Rank,Company,Industry,City,State,Zip Code,Website,Employees,Revenue,CEO
1,Walmart,General Merchandisers,Bentonville,Arkansas,72716,walmart.com,2100000,"$ 680,985,000,000",Douglas McMillon
2,Amazon,Internet Services and Retailing,Seattle,Washington,98109,amazon.com,1556000,"$ 637,959,000,000",Andrew Jassy
3,UnitedHealth,Health Care: Insurance and Managed Care,Eden Prairie,Minnesota,55344,unitedhealthgroup.com,400000,"$ 400,278,000,000",Stephen Hemsley
4,Apple,"Computers, Office Equipment",Cupertino,California,95014,apple.com,164000,"$ 391,035,000,000",Timothy Cook
5,CVS Health,Health Care: Pharmacy and Other Services,Woonsocket,Rhode Island,2895,cvshealth.com,259500,"$ 372,809,000,000",David Joyner
6,Berkshire Hathaway,Insurance: Property and Casualty (Stock),Omaha,Nebraska,68131,berkshirehathaway.com,392400,"$ 371,433,000,000",Warren Buffett
7,Alphabet,Internet Services and Retailing,Mountain View,California,94043,abc.xyz,183323,"$ 350,018,000,000",Sundar Pichai
8,Exxon Mobil,Petroleum Refining,Spring,Texas,77389,exxonmobil.com,60900,"$ 349,585,000,000",Darren Woods
9,McKesson,Wholesalers: Health Care,Irving,Texas,75039,mckesson.com,48000,"$ 308,951,000,000",Brian Tyler
10,Cencora,Wholesalers: Health Care,Conshohocken,Pennsylvania,19428,cencora.com,44000,"$ 293,959,000,000",Robert Mauch
11,JPMorgan Chase,Commercial Banks,New York,New York,10179,jpmorganchase.com,317233,"$ 278,906,000,000",James Dimon
12,Costco,General Merchandisers,Issaquah,Washington,98027,costco.com,333000,"$ 254,453,000,000",Ron Vachris
13,Cigna,Health Care: Pharmacy and Other Services,Bloomfield,Connecticut,6002,thecignagroup.com,72398,"$ 247,121,000,000",David Cordani
14,Microsoft,Computer Software,Redmond,Washington,98052,microsoft.com,228000,"$ 245,122,000,000",Satya Nadella
15,Cardinal Health,Wholesalers: Health Care,Dublin,Ohio,43017,cardinalhealth.com,48411,"$ 226,827,000,000",Jason Hollar
16,Chevron,Petroleum Refining,Houston,Texas,77002,chevron.com,45298,"$ 202,792,000,000",Michael Wirth
17,Bank of America,Commercial Banks,Charlotte,North Carolina,28255,bankofamerica.com,213193,"$ 192,434,000,000",Brian Moynihan
18,General Motors,Motor Vehicles & Parts,Detroit,Michigan,48265,gm.com,162000,"$ 187,442,000,000",Mary Barra
19,Ford Motor,Motor Vehicles & Parts,Dearborn,Michigan,48126,ford.com,171000,"$ 184,992,000,000",James Farley Jr.
20,Elevance Health,Health Care: Insurance and Managed Care,Indianapolis,Indiana,46204,elevancehealth.com,103679,"$ 177,011,000,000",Gail Boudreaux
21,Citi,Commercial Banks,New York,New York,10013,citigroup.com,227855,"$ 170,757,000,000",Jane Fraser
22,Meta,Internet Services and Retailing,Menlo Park,California,94025,meta.com,74067,"$ 164,501,000,000",Mark Zuckerberg
23,Centene,Health Care: Insurance and Managed Care,St. Louis,Missouri,63105,centene.com,60500,"$ 163,071,000,000",Sarah London
24,Home Depot,Specialty Retailers: Other,Atlanta,Georgia,30339,homedepot.com,470100,"$ 159,514,000,000",Edward Decker
25,Fannie Mae,Diversified Financials,Washington,District Of Columbia,20005,fanniemae.com,8200,"$ 152,670,000,000",Priscilla Almodovar
26,Walgreens,Food & Drug Stores,Deerfield,Illinois,60015,walgreensbootsalliance.com,252500,"$ 147,658,000,000",Timothy Wentworth
27,Kroger,Food & Drug Stores,Cincinnati,Ohio,45202,thekrogerco.com,409000,"$ 147,123,000,000",Ronald Sargent
28,Phillips 66,Petroleum Refining,Houston,Texas,77042,phillips66.com,13200,"$ 145,496,000,000",Mark Lashier
29,Marathon Petroleum,Petroleum Refining,Findlay,Ohio,45840,marathonpetroleum.com,18300,"$ 140,412,000,000",Maryann Mannen
